,movie_id,movie_rating_avg,movie_rating_no,movie_title,movie_year,user_rating,user_rated_date,user_name,user_page
0,31581,8.2,15194.0,Świadek oskarżenia,1957,9,2020-04-26,filiphancke,1
1,490965,7.2,38955.0,Mikołajek,2009,7,2020-04-26,filiphancke,1
2,792989,6.7,28284.0,Nieoszlifowane diamenty,2019,8,2020-04-26,filiphancke,1
3,11756,7.1,19939.0,Wojna państwa Rose,1989,7,2020-04-26,filiphancke,1
4,30726,7.2,12458.0,West Side Story,1961,8,2020-01-02,greyshh,1
5,723705,7.5,166438.0,Zanim się pojawiłeś,2016,6,2019-11-01,greenzuz,1
6,513794,7.1,75088.0,Irlandczyk,2019,5,2019-12-30,Andrew107,1
7,842425,4.4,65087.0,W lesie dziś nie zaśnie nikt,2020,3,2020-03-20,klawy606,1
8,242219,7.6,20710.0,Nieustraszony,2006,6,2020-04-26,filiphancke,1
9,10701,7.4,201000.0,Inni,2001,8,2020-04-26,filiphancke,1
10,830289,6.9,31505.0,(Nie)znajomi,2019,8,2019-10-20,greyshh,1
11,828798,5.8,16122.0,Pralnia,2019,4,2019-10-20,greyshh,1
12,619201,8.0,178240.0,Bohemian Rhapsody,2018,8,2019-11-01,greenzuz,1
13,776316,7.4,66653.0,Król Lew,2019,7,2019-11-01,greenzuz,1
14,730659,6.7,82923.0,Fantastyczne zwierzęta: Zbrodnie Grindelwalda,2018,7,2019-11-01,greenzuz,1
15,704635,7.5,98003.0,Vaiana: Skarb oceanu,2016,7,2020-04-19,AoiYuno,1
16,1040,7.4,161965.0,Bad Boys,1995,8,2020-04-16,Dr_Marvel,1
17,30701,8.7,206860.0,Dwunastu gniewnych ludzi,1957,10,2016-12-11,Andrew107,1
18,712896,7.2,169662.0,Nowy początek,2016,9,2016-12-08,Andrew107,1
19,818017,7.1,34256.0,Sala samobójców. Hejter,2020,7,2020-03-06,klawy606,1
20,562509,7.1,189976.0,O północy w Paryżu,2011,8,2020-04-26,filiphancke,1
21,594357,7.5,227051.0,Strażnicy Galaktyki,2014,8,2020-04-26,filiphancke,1
22,781068,6.8,27203.0,I tak cię kocham,2017,0,2020-04-27,Bathorzak,1
23,1225,7.6,98418.0,Blues Brothers,1980,8,2019-02-15,greyshh,1
24,814592,6.1,42623.0,Planeta Singli 3,2019,7,2019-02-15,greyshh,1
25,755620,6.9,77446.0,Ant-Man i Osa,2018,5,2020-04-28,piotrek_cyran,1
26,809630,8.2,177459.0,Green Book,2018,8,2019-11-01,greenzuz,1
27,671333,7.4,10669.0,Przechowalnia numer 12,2013,8,2018-06-29,greenzuz,1
28,730659,6.7,82923.0,Fantastyczne zwierzęta: Zbrodnie Grindelwalda,2018,5,2020-04-19,AoiYuno,1
29,660758,7.1,70925.0,Gdzie jest Dory,2016,6,2020-04-19,AoiYuno,1
30,449935,8.0,171978.0,Mój przyjaciel Hachiko,2009,7,2020-04-13,AoiYuno,1
31,752130,6.5,32600.0,Kamerdyner,2018,7,2020-04-16,Dr_Marvel,1
32,574322,7.7,160349.0,Jak wytresować smoka 2,2014,8,2020-04-16,Dr_Marvel,1
33,713093,4.5,24268.0,Kto tam?,2015,3,2016-09-10,Andrew107,1
34,719148,6.1,62224.0,Papierowe miasta,2015,7,2015-08-12,Andrew107,1
35,375629,7.9,346680.0,Interstellar,2014,10,2015-08-10,Andrew107,1
36,9,7.4,246222.0,Armageddon,1998,6,2020-04-26,filiphancke,1
37,703836,7.9,239355.0,Zwierzogród,2016,8,2020-04-26,filiphancke,1
38,4340,6.9,273066.0,Dziennik Bridget Jones,2001,7,2020-04-26,filiphancke,1
39,819030,6.7,1866.0,One Small Step,2018,0,2020-04-27,Bathorzak,1
40,719462,6.6,13610.0,American Honey,2016,0,2020-04-26,Bathorzak,1
41,90970,7.0,10799.0,Odgłosy,1977,0,2020-04-25,Bathorzak,1
42,814945,4.7,32457.0,Miszmasz czyli Kogel Mogel 3,2019,6,2019-02-15,greyshh,1
43,542576,7.5,157049.0,Narodziny gwiazdy,2018,6,2019-01-18,greyshh,1
44,726490,6.9,88947.0,Kapitan Marvel,2019,4,2020-04-28,piotrek_cyran,1
45,693758,8.2,173059.0,Avengers: Wojna bez granic,2018,6,2020-04-27,piotrek_cyran,1
46,757814,7.4,13273.0,Szklany zamek,2017,9,2018-04-28,greenzuz,1
47,682889,7.4,81525.0,Najdłuższa podróż,2015,7,2018-04-21,greenzuz,1
