movie_id,movie_rating_avg,movie_rating_no,movie_title,movie_year,user_rated_day,user_rated_month,user_rated_year,user_rating,user_url
31581,"8,2",15 194,Świadek oskarżenia,1957,26,4,2020,9,https://www.filmweb.pl/user/filiphancke/films?page=1
490965,"7,2",38 955,Mikołajek,2009,26,4,2020,7,https://www.filmweb.pl/user/filiphancke/films?page=1
792989,"6,7",28 284,Nieoszlifowane diamenty,2019,26,4,2020,8,https://www.filmweb.pl/user/filiphancke/films?page=1
11756,"7,1",19 939,Wojna państwa Rose,1989,26,4,2020,7,https://www.filmweb.pl/user/filiphancke/films?page=1
30726,"7,2",12 458,West Side Story,1961,2,1,2020,8,https://www.filmweb.pl/user/greyshh/films?page=1
723705,"7,5",166 438,Zanim się pojawiłeś,2016,1,11,2019,6,https://www.filmweb.pl/user/greenzuz/films?page=1
513794,"7,1",75 088,Irlandczyk,2019,30,12,2019,5,https://www.filmweb.pl/user/Andrew107/films?page=1
842425,"4,4",65 087,W lesie dziś nie zaśnie nikt,2020,20,3,2020,3,https://www.filmweb.pl/user/klawy606/films?page=1
242219,"7,6",20 710,Nieustraszony,2006,26,4,2020,6,https://www.filmweb.pl/user/filiphancke/films?page=1
10701,"7,4",201 000,Inni,2001,26,4,2020,8,https://www.filmweb.pl/user/filiphancke/films?page=1
830289,"6,9",31 505,(Nie)znajomi,2019,20,10,2019,8,https://www.filmweb.pl/user/greyshh/films?page=1
828798,"5,8",16 122,Pralnia,2019,20,10,2019,4,https://www.filmweb.pl/user/greyshh/films?page=1
619201,"8,0",178 240,Bohemian Rhapsody,2018,1,11,2019,8,https://www.filmweb.pl/user/greenzuz/films?page=1
776316,"7,4",66 653,Król Lew,2019,1,11,2019,7,https://www.filmweb.pl/user/greenzuz/films?page=1
730659,"6,7",82 923,Fantastyczne zwierzęta: Zbrodnie Grindelwalda,2018,1,11,2019,7,https://www.filmweb.pl/user/greenzuz/films?page=1
704635,"7,5",98 003,Vaiana: Skarb oceanu,2016,19,4,2020,7,https://www.filmweb.pl/user/AoiYuno/films?page=1
1040,"7,4",161 965,Bad Boys,1995,16,4,2020,8,https://www.filmweb.pl/user/Dr_Marvel/films?page=1
30701,"8,7",206 860,Dwunastu gniewnych ludzi,1957,11,12,2016,10,https://www.filmweb.pl/user/Andrew107/films?page=1
712896,"7,2",169 662,Nowy początek,2016,8,12,2016,9,https://www.filmweb.pl/user/Andrew107/films?page=1
818017,"7,1",34 256,Sala samobójców. Hejter,2020,6,3,2020,7,https://www.filmweb.pl/user/klawy606/films?page=1
562509,"7,1",189 976,O północy w Paryżu,2011,26,4,2020,8,https://www.filmweb.pl/user/filiphancke/films?page=1
594357,"7,5",227 051,Strażnicy Galaktyki,2014,26,4,2020,8,https://www.filmweb.pl/user/filiphancke/films?page=1
781068,"6,8",27 203,I tak cię kocham,2017,27,4,2020,0,https://www.filmweb.pl/user/Bathorzak/films?page=1
1225,"7,6",98 418,Blues Brothers,1980,15,2,2019,8,https://www.filmweb.pl/user/greyshh/films?page=1
814592,"6,1",42 623,Planeta Singli 3,2019,15,2,2019,7,https://www.filmweb.pl/user/greyshh/films?page=1
755620,"6,9",77 446,Ant-Man i Osa,2018,28,4,2020,5,https://www.filmweb.pl/user/piotrek_cyran/films?page=1
809630,"8,2",177 459,Green Book,2018,1,11,2019,8,https://www.filmweb.pl/user/greenzuz/films?page=1
671333,"7,4",10 669,Przechowalnia numer 12,2013,29,6,2018,8,https://www.filmweb.pl/user/greenzuz/films?page=1
730659,"6,7",82 923,Fantastyczne zwierzęta: Zbrodnie Grindelwalda,2018,19,4,2020,5,https://www.filmweb.pl/user/AoiYuno/films?page=1
660758,"7,1",70 925,Gdzie jest Dory,2016,19,4,2020,6,https://www.filmweb.pl/user/AoiYuno/films?page=1
449935,"8,0",171 978,Mój przyjaciel Hachiko,2009,13,4,2020,7,https://www.filmweb.pl/user/AoiYuno/films?page=1
752130,"6,5",32 600,Kamerdyner,2018,16,4,2020,7,https://www.filmweb.pl/user/Dr_Marvel/films?page=1
574322,"7,7",160 349,Jak wytresować smoka 2,2014,16,4,2020,8,https://www.filmweb.pl/user/Dr_Marvel/films?page=1
713093,"4,5",24 268,Kto tam?,2015,10,9,2016,3,https://www.filmweb.pl/user/Andrew107/films?page=1
719148,"6,1",62 224,Papierowe miasta,2015,12,8,2015,7,https://www.filmweb.pl/user/Andrew107/films?page=1
375629,"7,9",346 680,Interstellar,2014,10,8,2015,10,https://www.filmweb.pl/user/Andrew107/films?page=1
9,"7,4",246 222,Armageddon,1998,26,4,2020,6,https://www.filmweb.pl/user/filiphancke/films?page=1
703836,"7,9",239 355,Zwierzogród,2016,26,4,2020,8,https://www.filmweb.pl/user/filiphancke/films?page=1
4340,"6,9",273 066,Dziennik Bridget Jones,2001,26,4,2020,7,https://www.filmweb.pl/user/filiphancke/films?page=1
819030,"6,7",1 866,One Small Step,2018,27,4,2020,0,https://www.filmweb.pl/user/Bathorzak/films?page=1
719462,"6,6",13 610,American Honey,2016,26,4,2020,0,https://www.filmweb.pl/user/Bathorzak/films?page=1
90970,"7,0",10 799,Odgłosy,1977,25,4,2020,0,https://www.filmweb.pl/user/Bathorzak/films?page=1
814945,"4,7",32 457,Miszmasz czyli Kogel Mogel 3,2019,15,2,2019,6,https://www.filmweb.pl/user/greyshh/films?page=1
542576,"7,5",157 049,Narodziny gwiazdy,2018,18,1,2019,6,https://www.filmweb.pl/user/greyshh/films?page=1
726490,"6,9",88 947,Kapitan Marvel,2019,28,4,2020,4,https://www.filmweb.pl/user/piotrek_cyran/films?page=1
