movie_id,movie_rating_avg,movie_rating_no,movie_title,movie_year,user_rated_day,user_rated_month,user_rated_year,user_rating,user_url
536242,"7,6",48 750,Król rozrywki,2017,9,6,2019,10,https://www.filmweb.pl/user/Juliette97/films?page=1
805947,"6,9",58 991,"Do wszystkich chłopców, których kochałam",2018,28,12,2018,6,https://www.filmweb.pl/user/Juliette97/films?page=1
814049,"6,1",18 758,Zamiana z księżniczką,2018,28,12,2018,3,https://www.filmweb.pl/user/Juliette97/films?page=1
120851,"6,6",307,Oko i ucho,1945,8,4,2020,0,https://www.filmweb.pl/user/Zohelka/films?page=1
449935,"8,0",171 196,Mój przyjaciel Hachiko,2009,13,4,2020,7,https://www.filmweb.pl/user/AoiYuno/films?page=1
813525,"6,7",10 868,Kronika świąteczna,2018,28,12,2018,5,https://www.filmweb.pl/user/Juliette97/films?page=1
779043,"6,3",53 886,Listy do M. 3,2017,26,12,2017,6,https://www.filmweb.pl/user/Juliette97/films?page=1
355501,"6,8",125,Blokada,2005,5,4,2020,0,https://www.filmweb.pl/user/Zohelka/films?page=1
200735,"7,0",368,Upiór przedpołudniowy,1928,1,4,2020,0,https://www.filmweb.pl/user/Zohelka/films?page=1
120853,"6,9",724,Przygoda człowieka poczciwego,1937,1,4,2020,0,https://www.filmweb.pl/user/Zohelka/films?page=1
762864,"6,7",79 997,Lady Bird,2017,9,4,2020,8,https://www.filmweb.pl/user/AoiYuno/films?page=1
1453,"7,2",30 277,Fatalne zauroczenie,1987,9,4,2020,7,https://www.filmweb.pl/user/AoiYuno/films?page=1
783759,"6,9",29 586,Fanatyk,2017,26,12,2017,8,https://www.filmweb.pl/user/Juliette97/films?page=1
783187,"6,0",13 942,Czym chata bogata!,2017,2,12,2017,6,https://www.filmweb.pl/user/Juliette97/films?page=1
124622,"8,0",452,Kraina ciszy i ciemności,1971,30,3,2020,8,https://www.filmweb.pl/user/Zohelka/films?page=1
369419,"6,4",8 685,Paranoid Park,2007,28,3,2020,5,https://www.filmweb.pl/user/Zohelka/films?page=1
842425,"4,5",61 875,W lesie dziś nie zaśnie nikt,2020,22,3,2020,5,https://www.filmweb.pl/user/Zohelka/films?page=1
107855,"7,3",138 369,Zakochany bez pamięci,2004,9,4,2020,4,https://www.filmweb.pl/user/AoiYuno/films?page=1
233601,"7,9",3 556,Usłyszcie mój krzyk,1991,1,4,2020,8,https://www.filmweb.pl/user/AoiYuno/films?page=1
736002,"7,2",18 940,Opiekun,2016,1,12,2017,7,https://www.filmweb.pl/user/Juliette97/films?page=1
697953,"5,5",9 578,Scenariusz na miłość,2014,5,11,2017,6,https://www.filmweb.pl/user/Juliette97/films?page=1
736421,"7,1",70 078,Barry Seal: Król przemytu,2017,2,11,2017,7,https://www.filmweb.pl/user/Juliette97/films?page=1
645957,"6,5",1 058,Pokój 237,2012,17,3,2020,5,https://www.filmweb.pl/user/Zohelka/films?page=1
