,movie_id,movie_rating_avg,movie_rating_no,movie_title,movie_year,user_rating,user_rated_date,user_name,user_page
0,536242,7.6,48750.0,Król rozrywki,2017,10,2019-06-09,Juliette97,1
1,805947,6.9,58991.0,"Do wszystkich chłopców, których kochałam",2018,6,2018-12-28,Juliette97,1
2,814049,6.1,18758.0,Zamiana z księżniczką,2018,3,2018-12-28,Juliette97,1
3,120851,6.6,307.0,Oko i ucho,1945,0,2020-04-08,Zohelka,1
4,449935,8.0,171196.0,Mój przyjaciel Hachiko,2009,7,2020-04-13,AoiYuno,1
5,813525,6.7,10868.0,Kronika świąteczna,2018,5,2018-12-28,Juliette97,1
6,779043,6.3,53886.0,Listy do M. 3,2017,6,2017-12-26,Juliette97,1
7,355501,6.8,125.0,Blokada,2005,0,2020-04-05,Zohelka,1
8,200735,7.0,368.0,Upiór przedpołudniowy,1928,0,2020-04-01,Zohelka,1
9,120853,6.9,724.0,Przygoda człowieka poczciwego,1937,0,2020-04-01,Zohelka,1
10,762864,6.7,79997.0,Lady Bird,2017,8,2020-04-09,AoiYuno,1
11,1453,7.2,30277.0,Fatalne zauroczenie,1987,7,2020-04-09,AoiYuno,1
12,783759,6.9,29586.0,Fanatyk,2017,8,2017-12-26,Juliette97,1
13,783187,6.0,13942.0,Czym chata bogata!,2017,6,2017-12-02,Juliette97,1
14,124622,8.0,452.0,Kraina ciszy i ciemności,1971,8,2020-03-30,Zohelka,1
15,369419,6.4,8685.0,Paranoid Park,2007,5,2020-03-28,Zohelka,1
16,842425,4.5,61875.0,W lesie dziś nie zaśnie nikt,2020,5,2020-03-22,Zohelka,1
17,107855,7.3,138369.0,Zakochany bez pamięci,2004,4,2020-04-09,AoiYuno,1
18,233601,7.9,3556.0,Usłyszcie mój krzyk,1991,8,2020-04-01,AoiYuno,1
19,736002,7.2,18940.0,Opiekun,2016,7,2017-12-01,Juliette97,1
20,697953,5.5,9578.0,Scenariusz na miłość,2014,6,2017-11-05,Juliette97,1
21,736421,7.1,70078.0,Barry Seal: Król przemytu,2017,7,2017-11-02,Juliette97,1
22,645957,6.5,1058.0,Pokój 237,2012,5,2020-03-17,Zohelka,1
23,1210,7.6,208511.0,12 małp,1995,7,2020-03-11,Zohelka,1
24,163283,7.1,800.0,Byczek Fernando,1938,8,2020-04-01,AoiYuno,1
25,651383,6.2,34943.0,Wróg,2013,3,2020-03-25,AoiYuno,1
26,682272,7.3,184241.0,Kingsman: Tajne służby,2014,9,2017-09-30,Juliette97,1
27,743496,6.9,83544.0,Kingsman: Złoty Krąg,2017,9,2017-09-30,Juliette97,1
28,95770,6.7,27.0,Cicha przystań,1995,5,2020-03-10,Zohelka,1
29,829443,7.0,6137.0,Matthias i Maxime,2019,7,2020-03-08,AoiYuno,1
30,798143,8.1,114185.0,Parasite,2019,8,2020-02-20,AoiYuno,1
31,11797,7.9,2910.0,Wszystkie poranki świata,1991,5,2019-12-21,AoiYuno,1
32,224726,7.7,80792.0,Cudowne dziecko,2007,8,2017-08-15,Juliette97,1
33,123383,7.7,481273.0,Ciekawy przypadek Benjamina Buttona,2008,8,2017-08-09,Juliette97,1
34,452096,6.8,81.0,Pierwszy dzień,2007,6,2020-03-10,Zohelka,1
35,810546,7.0,585.0,Wieś pływających krów,2017,5,2020-03-05,Zohelka,1
36,792989,6.7,27233.0,Nieoszlifowane diamenty,2019,6,2020-03-04,Zohelka,1
37,728595,7.2,8548.0,Citizenfour,2014,8,2019-12-05,AoiYuno,1
38,759290,7.4,15338.0,"Ja, Daniel Blake",2016,8,2019-11-20,AoiYuno,1
39,525892,5.3,179625.0,Galerianki,2009,8,2019-11-19,AoiYuno,1
40,736788,7.2,129673.0,Piękna i Bestia,2017,8,2017-08-06,Juliette97,1
41,757545,6.9,45932.0,Zanim odejdę,2017,9,2017-07-24,Juliette97,1
42,705791,7.9,41601.0,Le Mans '66,2019,7,2020-02-29,Zohelka,1
43,34656,7.9,55682.0,Mój sąsiad Totoro,1988,7,2020-02-28,Zohelka,1
44,242484,6.3,21.0,Brooms,1996,4,2020-02-27,Zohelka,1
45,11610,6.9,1783.0,Gdy przyjaźń zabija,1996,7,2019-11-15,AoiYuno,1
46,971,8.0,74212.0,Księżniczka Mononoke,1997,7,2019-07-16,AoiYuno,1
47,775769,6.5,34627.0,Pokémon Detektyw Pikachu,2019,3,2019-06-03,AoiYuno,1
48,771035,6.9,65721.0,Aż do kości,2017,7,2017-07-23,Juliette97,1
49,752725,7.7,157513.0,Dobrze się kłamie w miłym towarzystwie,2016,9,2017-06-02,Juliette97,1
50,723658,6.3,111162.0,Co ty wiesz o swoim dziadku?,2016,6,2017-04-18,Juliette97,1
51,467482,7.5,29918.0,Biała wstążka,2009,8,2020-02-27,Zohelka,1
52,127710,6.2,105.0,Mężczyźni,1969,0,2020-02-25,Zohelka,1
53,11463,7.8,41613.0,Vincent,1982,0,2019-04-18,AoiYuno,1
54,505014,7.1,107955.0,"Zostań, jeśli kochasz",2014,7,2019-03-12,AoiYuno,1
55,432908,7.2,48734.0,Wątpliwość,2008,0,2019-03-10,AoiYuno,1
