,movie_title,movie_year,movie_rating_avg,movie_rating_no,user_rated_date,user_rating,movie_id,user
0,Ocalony,2013,"7,5",81 123,28 lutego,9,613320,kamma_hha
1,Aquaman,2018,"6,7",84 801,10 sierpnia 2019,4,549085,kamma_hha
2,Łowca i Królowa Lodu,2016,"6,4",65 207,7 sierpnia 2019,,684721,kamma_hha
3,Szybcy i wściekli 8,2017,"6,9",89 458,7 sierpnia 2019,,741981,kamma_hha
4,Lot,2012,"7,4",131 472,9 maja 2019,8,627908,kamma_hha
5,Wojna światów,2005,"6,3",258 013,17 lutego 2019,,127025,kamma_hha
6,Atomic Blonde,2017,"6,5",61 258,17 grudnia 2018,4,755384,kamma_hha
7,To,2017,"6,7",142 684,17 grudnia 2018,3,571114,kamma_hha
8,Kingsman: Złoty Krąg,2017,"6,9",83 716,17 grudnia 2018,3,743496,kamma_hha
9,"Do wszystkich chłopców, których kochałam",2018,"6,9",59 254,17 grudnia 2018,5,805947,kamma_hha
10,Snowden,2016,"6,9",50 803,17 grudnia 2018,4,728191,kamma_hha
11,Straight Outta Compton,2015,"7,7",51 885,17 grudnia 2018,8,652435,kamma_hha
12,Rekiny wojny,2016,"7,0",79 804,17 grudnia 2018,5,731322,kamma_hha
13,Wojna płci,2017,"6,1",12 189,17 grudnia 2018,6,759409,kamma_hha
14,Narodziny gwiazdy,2018,"7,5",156 819,17 grudnia 2018,8,542576,kamma_hha
15,Świąteczny kalendarz,2018,"5,7",7 199,2 grudnia 2018,2,814028,kamma_hha
16,Zamiana z księżniczką,2018,"6,1",18 818,2 grudnia 2018,2,814049,kamma_hha
17,Gra o wszystko,2017,"7,2",41 789,22 sierpnia 2018,7,774747,kamma_hha
18,Prawda czy wyzwanie,2018,"5,5",24 187,22 sierpnia 2018,6,798331,kamma_hha
19,Twój Simon,2018,"7,2",26 916,22 sierpnia 2018,3,797246,kamma_hha
20,Player One,2018,"7,1",76 374,22 sierpnia 2018,4,719889,kamma_hha
21,Iniemamocni 2,2018,"7,5",64 361,22 sierpnia 2018,8,740144,kamma_hha
22,Avengers: Wojna bez granic,2018,"8,2",172 916,22 sierpnia 2018,7,693758,kamma_hha
23,Mamma Mia! Here We Go Again,2018,"6,9",53 946,22 sierpnia 2018,4,790375,kamma_hha
24,Paranoja,2013,"6,2",28 071,13 maja 2018,2,652252,kamma_hha
25,Dzieciak rządzi,2017,"6,6",53 884,7 maja 2018,7,723768,kamma_hha
26,Pitch Perfect 2,2015,"6,6",44 821,28 kwietnia 2018,4,687065,kamma_hha
27,Pitch Perfect 3,2017,"6,4",19 147,28 kwietnia 2018,4,744327,kamma_hha
28,Ciche miejsce,2018,"6,7",95 218,28 kwietnia 2018,8,795912,kamma_hha
29,Wieczór gier,2018,"6,5",73 953,5 kwietnia 2018,8,757913,kamma_hha
0,Przekręt,2000,"8,0",240 089,7 stycznia 2018,8,1326,alexandras1997
1,W pogoni za szczęściem,2006,"8,1",256 474,7 stycznia 2018,8,240046,alexandras1997
2,Prestiż,2006,"8,1",373 518,7 stycznia 2018,8,259945,alexandras1997
3,Leon zawodowiec,1994,"8,1",810 897,7 stycznia 2018,7,671,alexandras1997
4,Król Lew,1994,"8,2",551 682,7 stycznia 2018,10,6878,alexandras1997
5,Django,2012,"8,3",462 306,7 stycznia 2018,7,620541,alexandras1997
6,Incepcja,2010,"8,3",581 057,7 stycznia 2018,9,500891,alexandras1997
7,Ojciec chrzestny,1972,"8,6",515 241,7 stycznia 2018,9,1089,alexandras1997
8,Iluzja,2013,"7,4",322 676,7 stycznia 2018,8,623761,alexandras1997
9,Strażnicy Galaktyki vol. 2,2017,"7,6",149 314,7 stycznia 2018,8,722146,alexandras1997
10,Strażnicy Galaktyki,2014,"7,5",226 953,7 stycznia 2018,8,594357,alexandras1997
11,"Vabank II, czyli riposta",1984,"7,6",70 917,7 stycznia 2018,9,1147,alexandras1997
12,Vabank,1981,"7,7",147 837,7 stycznia 2018,9,1146,alexandras1997
13,Ocean's 13,2007,"7,3",126 538,7 stycznia 2018,8,290802,alexandras1997
14,Ocean's Twelve: Dogrywka,2004,"7,2",133 990,7 stycznia 2018,8,105744,alexandras1997
15,Ocean's Eleven: Ryzykowna gra,2001,"7,6",215 698,7 stycznia 2018,8,8263,alexandras1997
16,Barry Seal: Król przemytu,2017,"7,1",70 172,7 stycznia 2018,7,736421,alexandras1997
17,Morderstwo w Orient Expressie,2017,"6,5",97 561,7 stycznia 2018,8,746114,alexandras1997
18,Spectre,2015,"6,7",163 140,7 stycznia 2018,7,654406,alexandras1997
19,Iluzjonista,2006,"7,8",283 443,7 stycznia 2018,8,203657,alexandras1997
20,Król rozrywki,2017,"7,6",48 947,7 stycznia 2018,7,536242,alexandras1997
21,Baby Driver,2017,"7,1",164 771,7 stycznia 2018,8,736411,alexandras1997
22,21 Jump Street,2012,"7,0",159 511,9 września 2016,7,208694,alexandras1997
23,Vinci,2004,"7,1",243 159,9 września 2016,9,113329,alexandras1997
24,Millerowie,2013,"7,1",210 167,9 września 2016,7,152844,alexandras1997
