,movie_title,movie_year,movie_rating_avg,movie_rating_no,user_rated_date,user_rating,movie_id,user
0,,,,,,,1046,Kamilmac
1,,,,,,,31670,Kamilmac
2,,,,,,,762864,Kamilmac
3,,,,,,,757223,Kamilmac
4,,,,,,,448527,Kamilmac
5,,,,,,,787309,Kamilmac
6,,,,,,,1467,Kamilmac
7,,,,,,,782505,Kamilmac
8,,,,,,,1253,Kamilmac
9,,,,,,,661331,Kamilmac
10,,,,,,,772805,Kamilmac
11,,,,,,,338362,Kamilmac
12,,,,,,,767406,Kamilmac
13,,,,,,,809630,Kamilmac
14,,,,,,,823386,Kamilmac
15,,,,,,,764039,Kamilmac
16,,,,,,,680709,Kamilmac
17,,,,,,,798143,Kamilmac
18,,,,,,,1018,Kamilmac
19,,,,,,,989,Kamilmac
20,,,,,,,297829,Kamilmac
21,,,,,,,808863,Kamilmac
22,,,,,,,31864,Kamilmac
23,,,,,,,1008,Kamilmac
24,,,,,,,671,Kamilmac
25,Pianistka,2001,"7,3",41 134,10 lutego 2017,7,31740,Kamilmac
26,Paterson,2016,"7,0",42 301,13 stycznia 2017,6,759639,Kamilmac
27,Przełęcz ocalonych,2016,"8,2",208 055,11 listopada 2016,7,658802,Kamilmac
28,Z dystansu,2011,"7,8",51 317,28 października 2016,9,587177,Kamilmac
29,Imagine,2012,"7,4",38 948,1 października 2016,7,607122,Kamilmac
30,Buntownik z wyboru,1997,"8,1",263 585,22 września 2016,9,21,Kamilmac
31,Requiem dla snu,2000,"7,8",651 599,22 sierpnia 2016,7,9136,Kamilmac
32,V jak Vendetta,2005,"7,4",279 911,20 sierpnia 2016,8,180040,Kamilmac
33,Zapach kobiety,1992,"8,1",335 935,20 sierpnia 2016,7,1093,Kamilmac
34,Wesele,2004,"7,6",207 331,20 sierpnia 2016,8,124098,Kamilmac
35,American Beauty,1999,"7,6",501 565,19 sierpnia 2016,9,836,Kamilmac
36,Podwójne ubezpieczenie,1944,"7,9",7 848,18 sierpnia 2016,7,30696,Kamilmac
37,Sausage Party,2016,"5,6",110 480,17 sierpnia 2016,4,599051,Kamilmac
38,Le gouffre,2014,"7,0",62,15 sierpnia 2016,7,737741,Kamilmac
39,The Answers,2015,"7,7",3 745,15 sierpnia 2016,9,741571,Kamilmac
40,The iMom,2013,"6,4",81,15 sierpnia 2016,6,704690,Kamilmac
41,Truman Show,1998,"7,4",483 940,14 sierpnia 2016,7,189,Kamilmac
42,Sugar Man,2012,"7,7",68 018,12 sierpnia 2016,7,644473,Kamilmac
43,W głowie się nie mieści,2015,"7,7",204 676,8 sierpnia 2016,8,682170,Kamilmac
44,Czarny łabędź,2010,"7,7",344 220,7 sierpnia 2016,8,526137,Kamilmac
45,Mr. Nobody,2009,"7,5",141 615,5 sierpnia 2016,8,269102,Kamilmac
46,Sobowtór,2013,"6,3",7 981,1 sierpnia 2016,5,645355,Kamilmac
47,Wielka Szóstka,2014,"7,7",152 215,31 lipca 2016,7,685183,Kamilmac
48,Rozłączeni,2012,"7,5",20 930,30 lipca 2016,6,631256,Kamilmac
49,Batman - Początek,2005,"7,6",337 896,30 lipca 2016,6,106376,Kamilmac
50,Mroczny Rycerz,2008,"8,0",487 817,30 lipca 2016,8,236351,Kamilmac
51,Memento,2000,"7,6",184 200,30 lipca 2016,8,7656,Kamilmac
52,Zodiak,2007,"7,2",181 807,30 lipca 2016,6,191345,Kamilmac
53,The Social Network,2010,"7,0",218 812,30 lipca 2016,6,528258,Kamilmac
54,Czas Apokalipsy,1979,"8,2",171 243,30 lipca 2016,8,1092,Kamilmac
55,Snajper,2014,"7,6",230 284,30 lipca 2016,6,656040,Kamilmac
56,Oldboy,2003,"7,7",80 735,30 lipca 2016,10,115059,Kamilmac
57,Musimy porozmawiać o Kevinie,2011,"7,4",94 670,30 lipca 2016,4,485802,Kamilmac
58,Sala samobójców,2011,"6,3",297 568,30 lipca 2016,6,539509,Kamilmac
59,Kac Vegas,2009,"7,3",706 627,30 lipca 2016,7,487211,Kamilmac
60,Mroczny Rycerz powstaje,2012,"7,7",289 523,30 lipca 2016,4,506756,Kamilmac
61,Sherlock Holmes,2009,"7,7",430 008,30 lipca 2016,7,426062,Kamilmac
62,Od zmierzchu do świtu,1996,"7,2",146 084,30 lipca 2016,6,8269,Kamilmac
63,Monty Python i Święty Graal,1975,"8,0",159 149,30 lipca 2016,9,1096,Kamilmac
64,Sin City - Miasto grzechu,2005,"7,4",260 656,30 lipca 2016,8,112584,Kamilmac
65,Sekretne życie Waltera Mitty,2013,"7,0",101 366,30 lipca 2016,8,107587,Kamilmac
66,Interstellar,2014,"7,9",344 536,30 lipca 2016,8,375629,Kamilmac
67,Tylko kochankowie przeżyją,2013,"7,2",68 201,30 lipca 2016,9,650619,Kamilmac
68,Życie świadome,2001,"7,6",5 969,30 lipca 2016,7,34004,Kamilmac
69,Boyhood,2014,"7,0",78 025,30 lipca 2016,8,629125,Kamilmac
70,Napoleon Wybuchowiec,2004,"6,5",12 246,30 lipca 2016,8,109268,Kamilmac
71,Zwierzogród,2016,"7,9",237 766,30 lipca 2016,7,703836,Kamilmac
72,Casablanca,1942,"7,9",87 982,30 lipca 2016,5,905,Kamilmac
73,Wilk z Wall Street,2013,"7,7",426 535,30 lipca 2016,6,426597,Kamilmac
74,Stowarzyszenie Umarłych Poetów,1989,"7,8",296 609,30 lipca 2016,8,1262,Kamilmac
75,Efekt motyla,2004,"7,8",492 712,30 lipca 2016,7,40252,Kamilmac
76,"House, M.D., Season Four: New Beginnings",2008,"8,3",23 163,30 lipca 2016,7,503834,Kamilmac
77,Zaginiona dziewczyna,2014,"7,8",290 557,30 lipca 2016,10,695409,Kamilmac
78,Chłopaki nie płaczą,2000,"7,8",407 801,30 lipca 2016,8,843,Kamilmac
79,Gladiator,2000,"8,1",737 621,30 lipca 2016,7,936,Kamilmac
80,Dwunastu gniewnych ludzi,1997,"8,1",47 667,30 lipca 2016,8,5267,Kamilmac
81,Prestiż,2006,"8,1",372 094,30 lipca 2016,7,259945,Kamilmac
82,Śniadanie u Tiffany'ego,1961,"7,8",146 683,30 lipca 2016,7,1318,Kamilmac
83,Dzień świra,2002,"7,8",593 344,30 lipca 2016,9,31413,Kamilmac
84,W pogoni za szczęściem,2006,"8,1",255 168,30 lipca 2016,8,240046,Kamilmac
85,Whiplash,2014,"8,1",272 472,30 lipca 2016,8,698847,Kamilmac
86,Wyspa tajemnic,2010,"8,2",551 323,30 lipca 2016,9,464256,Kamilmac
87,Incepcja,2010,"8,3",579 070,30 lipca 2016,9,500891,Kamilmac
88,Django,2012,"8,3",460 332,30 lipca 2016,7,620541,Kamilmac
89,Bogowie,2014,"8,0",324 133,30 lipca 2016,8,694378,Kamilmac
90,Dwunastu gniewnych ludzi,1957,"8,7",205 456,30 lipca 2016,7,30701,Kamilmac
91,Życie jest piękne,1997,"8,4",269 739,30 lipca 2016,8,208,Kamilmac
92,Nietykalni,2011,"8,7",638 102,30 lipca 2016,9,583390,Kamilmac
93,Piraci z Karaibów: Klątwa Czarnej Perły,2003,"7,7",709 772,30 lipca 2016,8,37309,Kamilmac
